the architecture|die Architektur
as a consequence of (has "davon")|als Folge davon
the applied art|die angewandte Kunst
the demand|der Anspruch(¨e)
the expressiveness|die Ausdruckskraft
the method of building/construction|die Bauswiese(n)
to be enthusiastic (reflexive)|sich begeistern
the enthusiasm|die Begeisterung(en)
the dwelling, accommodation|die Behausung(en)
to establish a link with (4 words)|eine Beziehung herstellen zu
the Fine Arts|die Bildende Kunst
the sculptor (male)|der Bildhauer(-)
the sculptor (female)|die Bildhauerin(nen)
the impression|der Eindruck(¨e)
impressive (starts with "ei")|eindrucksvoll
to make a contribution (to)|einen Beitrag leisten (zu)
unique|einzigartig
the extension|die Erweiterung(en)
to complete|fertigstellen
the contrast, opposite|der Gegensatz(¨e)
in contrast/opposition to|im Gegensatz zu
the spirit, mentality|der Geist(er)
weightless|gewichtlos
the major/key work|das Hauptwerk(e)
to set high standards|hohe Ansprüche stellen
the high point, peak|der Höhepunkt(e)
the art|die Kusnt(¨e)
the artistic/cultural monument|das Kundstdenkmal(¨er)
the art education|die Kunsterziehung
the art gallery|die Kunstgalerie(n)
the history of art|die Kunstgeschichte
the arts and crafts|das Kunstgewerbe
the art college|die Kunsthochschule(n)
the artist (male)|der Künstler(-)
the artist (female)|die Künstlerin(nen)
artistic|künstlerisch
the art trend/direction|die Kunstrichtung(en)
the piece/work of art|das Kunstwerk(e)
the painter (male)|der Maler(-)
the painter (female)|die Malerin(nen)
picturesque|malerisch
the masterpiece|das Meisterstück(e)
to shape, mould|prägen
renowned|renommiert
the atmosphere, mood|die Stimmung(en)
the technical college|die Technische Hochschule
original(ly)|ursprünglich
playful, fanciful|verspielt
the furniture, objects|die Wohngegenstände
to be a part of, belong to|zählen zu
the drawing|die Zeichnung(en)
the contemporary|der Zeitgenosse(n)
contemporary|zeitgenössisch
the illustration, picture (starts with A)|die Abbildung(en)
to have the intention|die Absicht haben
the everyday life|der Alltag
pleasant (starts with "an")|angenehm
to adapt, conform (reflexive, optional)|"sich" anpassen
the architectural style|der Baustil(e)
significant (starts with "be")|bedeutend
to be enthusiastic about|begeistert sein von
to expose|belichten
the exposure, light (starts with "Be")|die Belichtung
the concrete blocks|die Betonklötze
to plan, design|entwerfen
the design|der Entwurf(¨e)
to deal with complete|erledigen
to promote|fördern
the guided tour|die Führung(en)
the underfloor heating|die Fußbodenheizung
the corridor|der Gang(¨e)
the painting (starts with G)|der Gemälde(-)
low, small (starts with "ge")|gering
to ask specific questions|gezielte Fragen stellen
the open-plan office|das Großraumbüro(s)
spacious, roomy|großräumig
the green space|die Grünfläche(n)
the trade (starts with H)|der Handel
the interior designer (male)|der Innenarchitekt(en)
the interior designer (female)|die Innenarchitektin(nen)
the interior design|die Innenausstattung
the art objects|die Kunstgegenstände
the physical well-being|das leibliche Wohl
the exhibition hall|die Messehalle(n)
to give (someone) an understanding|näher bringen
the parquet flooring|der Parkettboden(-)
sculptural, three-dimensional|plastisch
the failure (starts with P)|die Pleite(n)
to restore|restaurieren
the collection|die Sammlung(en)
the proximity to town|die Stadnähe
the steel construction|der Stahlbau(ten)
the feeling for style, sense of style|das Stilgefühl(e)
true to the style (starts with "stilg")|stilgerecht
true to the style (starts with "stile")|stilecht
the underground car park|die Tiefgarage(n)
the pottery|die Töpferei
the behavioual disorder|die Verhaltensstörung(en)
as far as ... is concerned|was ... betrifft
the workshop|die Werkstatt(¨en)
to place value on, consider important|Wert legen auf
the economy|die Wirtschaft(en)
the atmosphere of well-being|die Wohlfühlambiente(n)
the residential estate|die Wohnanlage(n)
in addition (starts with z)|zudem
forward-looking (starts with z)|zukunftsweisend
the early years|die Anfangsjahre
to distinguish through|auszeichnen durch
to distinguish oneself through (reflexive)| sich auszeichnen durch
to be in ... place|an ... Stelle stehen
apparently|anscheinend
the nuclear power station|das Atomkraftwerk(e)
to be commissioned|den Auftrag erhalten
the extent, scale (starts with A)|das Ausmaß(e)
to award with|auszeichnen mit
the architectural exhibition|die Bauausstellung(en)
to participate in (+ case) (reflexive)|sich beteiligen an (+ dat)
print, graphic (adjective)|druckgraphisch
to make it, achieve a breakthrough|den Durchbruch schaffen
to bring into harmony, reconcile|in Einklang bringen
the energy demand|der Energiebedarf(e)
the energy source|die Energiequelle(n)
to get involved|sich engagieren
politically|politisch
the inventor (male)|der Erfinder(-)
the inventor (female)|die Erfinderin(nen)
to produce (starts with "er")|erzeugen
the case study|die Fallstudie(n)
to cause a scandal|für einen Skandal sorgen
the present (current, not a gift)|die Gegenwart
contemporary, of today|gegenwärtig
the graphic arts|die Grafik
to stop (2 words)|Halt machen
the heating|die Heizung
the whitewash|die Kalkfarbe
bare, austere|karg
the Academy of Art|die Kunstakademie
the landscape painting|die Landschaftsmalerei(en)
the bricklayer (male)|der Mauer(-)
the bricklayer (female)|die Mauerin(nen)
the majority|die Mehrheit
human (adjective)|menschlich
the furniture (this is plural)|die Möbel
the cabinetmaker (male)|der Möbelschreiner(-)
the cabinetmaker (female)|die Möbelschreinerin(nen)
true to nature|naturgetreu
the poster (starts with P)|das Plakat(e)
the space, room|der Raum(¨e)
spatial|räumlich
the sandstone|der Sandstein
to appreciate (starts with s)|schätzen
the difficulty (starts with "Sch")|die Schwierigkeit(en)
the settlement, residential area|die Siedlung(en)
the site (starts with "St")|die Stätte(n)
increasing|steigend
the electricity network|das Stromnetz
the study trip|der Studienaufenhalt(e)
to be active (2 words)|tätig sein
the oppressed (e.g the oppressed people) (this is plural)|die Unterdrückten
to come to terms with, work through|verarbeiten
the past (starts with V)|die Vergangenheit
the loss (starts with "Ve")|der Verlust(e)
the attempt (starts with "Ve")|der Versuch(e)
to represent|vertreten
to devote yourself to (+ case) (reflexive)|sich widmen (+ dat)
the reproduction, rendering|die Wiedergabe(n)
the concept for living, home design|das Wohnkonzept(e)
the quote (starts with Z)|das Zitat(e)
to quote|zitieren
the future (starts with Z)|die Zukunft
