i don't understand that|das verstehe ich nicht
i have a question|ich habe eine Frage
i don't know|ich weiß nicht
is that correct?|ist das richtig?
open the book to page...|öffnen Sie das Buch auf Seite...
say that again please|sagen Sie das bitte noch einmal
please write that|schreiben Sie das bitte
(speak) slowly please|(sprechen Sie) bitte langsam
what does ... mean?|was bedeutet ...?
i beg your pardon?|wie bitte?
please repeat that|wiederholen Sie das bitte
how do you say ... in German?|wie sagt man ... auf Deutsch?
how do you spell that?|wie schreibt man das?
