the subscriber (male)|der Abonnent(en)
the subscriber (female)|die Abonnentin(nen)
to share in (+ case)|an ... teilhaben (+ dat)
analogue, offline|analog
the request|die Anfrage(n)
the friendship request|die Freundschaftsanfrage(n)
to click on|anklicken
the application|die Anwendung(en)
to try out, experiment with (starts with "aus")|ausprobieren
the broadband technology|die Breitbandtechnologie
to chat online (online, via Skype)|chatten (im Internet, über Skype)
the computer virus|das Computervirus(-en)
the data processing|die Datenverarbeitung(en)
to film|drehen
to recommend|empfehlen
the follower (male)|der Follower(-)
the follower (female)|die Followerin(nen)
the sense of community, togetherness|das Gemeinschaftsgefühl(e)
sponsored|gesponsert
to download (starts with h)|herunterladen
to upload (starts with h)|hochladen
to put (sth) on the internet|ins Internet stellen
the tech company|der Internetkonzern(e)
to speak to someone directly|jamanden direkt ansprechen
to comment|kommentieren
to communicate|kommuniziren
to look up (information)|nachgucken
the web, net|das Netz
the network|das Netzwerk(e)
the personality cult|der Personenkult(e)
to place (advertising)|plaziren
to post (online)|posten
the product placement|die Produktplatzierung(en)
to look at, check (site/app)|reinschauen
the security measure|die Sicherheitsmaßnahme(n)
to secure|sichern
unfiltered|ungefiltert
unprofessional, amateurish|unprofessionnell
to market|vermarkten
vlogger, video blogger (male)|der Vlogger(-)
vlogger, video blogger (female)|die Vloggerin(nen)
to appear, come across as (starts as w)|wirken
the age restriction|die Altersbeschränkung(en)
the age group|die Altersgruppe(n)
to go down well|gut ankommen
to compare notes with each other about something (reflexive)|sich über etwas austauschen
by mistake|aus Versehen
surveyed|befragt
the insult|die Beleidigung(en)
the cyber-bullying|das Cybermobbing
to define|definieren
to offer the possibility|die Möglichkeit bieten
the invitation|die Einladung(en)
to see into|einsehen
accordingly, correspondingly|entsprechend
the circle of friends|der Freundeskreis(e)
to manage|führen
the like button|der Gefällt mir Knopf
according to (+ case)|gemäß (+ dat)
to create (starts with g)|gestalten
selected, targeted|gezielt
the peer pressure|der Gruppenzwang
to hack|hacken
the hacker (male)|der Hacker(-)
the hacker (female)|die Hackerin(nen)
to tease, pick on|hänseln
to add (starts with h)|hinzufügen
to stay in touch|in Kontakt bleiben
in real-time|in Echtzeit
to get in touch|in Kontakt treten
the content (starts with I)|der Inhalt(e)
the comment|der Kommentar(e)
the consumer|der Konsument(en)
the contact list|die Kontaktliste(n)
to delete|lösen
the deletion|die Löschtung(en)
to not have a clue about something|mit etwas nichts anfangen können
to join a conversation|mitreden
the message, post|die Nachricht(en)
the user (male)|der Nutzer(-)
the user (female)|die Nutzerin(nen)
the user habits/behaviours|die Nutzergewohnheiten
the condition of use|die Nutzungsbedingung(en)
to make public (2 words)|öffentlich machen
the location-tracking service|der Ortungsdienst(e)
the noticeboard, online wall|die Pinnwand(¨e)
the privacy settings|die Privatspäre-Einstellungen
the (online) profile|das Profil(e)
to make public (1 word) (starts with p)|publizieren
the feedback|die Rückmeldung(en)
to protect|schützen
be it ..., whether it be ...|sei es ..., seien es ...
the self-presentation, self-promotion|die Selbstinszenierung
to poke around|stöbern
to tag|taggen
everywhere in the world|überall auf der Welt
the other way round, vice versa|umgekehrt
the nonsense|der Unsinn(-)
the event (starts with V)|die Veranstaltung(en)
to link|vernetzen
to make public (starts with v)|veröffentlichen
to send|versenden
the delay, hesitation|die Verzögerung(en)
to make available|zue Verfügung stellen
the consent|die Zustimmung(en)
to switch off|abschalten
to connect a device to something|an etwas an anschlißen (+ acc)
the connection|der Anschluss(¨e)
corrosive|ätzend
on the big screen|auf dem großen Bildschirm
the attention span|die Aufmerksamkeitsspanne
to record (e.g a broadcast), to take in information|aufnehmen
to print off|ausdrucken
to retain|behalten
the user account|das Benutzerkonto(-en)
to complain (reflexive)|sich beschweren
to order|bestellen
proven|bewiesen
the misuse of data|der Datenmissbrauch(¨e)
the development|die Entwicklung(en)
the research|die Forschung(en)
the use|der Gebrauch(¨e)
the device, appliance|das Gerät(e)
in real life|im realen Leben
in virtual life|im virtuellen Leben
to grow up with something|mit etwas aufwachsen
the means to an end|das Mittel zum Zweck
to be impatient with something, to not have much regard for something|nichts für etwas übrig haben
useless|nutzlos
the online shopping|die Online-Einkäufe
the personal data|persönliche Daten
without any difficulty|problemlos
to profit from, take advantage of|profitieren von
to research|recherchieren
to steal|stehlen
the environmental impact|die Umweltbelastung(en)
unnecessary|unnötig
to connect (e.g a device)|verbinden
to supplant, replace|verdrängen
the isolation, lonliness|die Vereinsamung
the packaging waste|der Verpackungsmüll
cynical|zynisch
