the agreement|das Abkommen(-)
the recognition|die Anerkennung(en)
the process of becoming closer, approach|die Annäherung(en)
the workforce|die Arbeitskraft(¨e)
the inclusion|die Aufnahme(n)
to deal with, explore (reflexive)|sich auseinandersetzen mit
the committee|der Ausschuss(¨e)
the foreign agency|die Außenpolitik(¨e)
impressive (starts with b)|beeindruckend
to join, become a member of|beitreten
professionally|beruflich
to be based on (+ case)|beruhen auf (+ dat)
to apply for (+ case) (reflexive)|sich bewerben um (+ acc)
to refer to oneself as (reflexive)|sich bezeichnen als
the Brexit|der Brexit
the alliance|das Bündnis(se)
former|ehemalig
to reveal (starts with e)|enthüllen
to turn out to be (reflexive)|sich erweisen als
the expansion|die Erweiterung(en)
the European Community for Coal and Steel (ECSC, forerunner to EEC)|die Eruopäische Gemeinschaft für Kohle und Stahl (EGKS)
the Eropean Union (EU)|die Europäische Union (EU)
the Eropean Economic Community (EEC)|die Europäische Wirtschaftsgemeinschaft (EWG/EG)
as a consequence (of that) (has "darauf")|in Folge darauf
peaceful(ly) (starts with f)|friedlich
characterised|geprägt
the municipality|die Gemeinde(n)
to found|gründen
the founder member|das Gründungsmitglied(er)
the challenge|die Herausforderung(en)
to point to (+ case)|hinweisen auf (+ acc)
the corporation|der Konzern(e)
to cover the costs|die Kosten decken
to come into effect (3 words)|in Kraft treten
the achievement|die Leistung(en)
the member state|der Mitgliedsstaat(en)
the post-war years (pl.)|die Nachkriegsjahre
to settle (reflexive)|sich niederlassen
the sacrifice, victim|das Opfer(-)
the percentage|der Prozentsatz(¨e)
the pillar|die Säule(n)
to create|schaffen
the sign|das Schild(er)
the security policy|die Sicherheitspolitik(en)
to ensure (starts with s)|sichern
the tension|die Spannung(en)
the subsidy|die Subvention(en)
the conference|die Tagung(en)
to cross (starts with ü)|überqueren
the local area|das Umfeld(er)
vice versa|umgekehrt
undisputed (starts with "unb")|unbestritten
the joint enterprise, venture|der Unternehmensverein
the event|die Veranstaltung(en)
to strengthen|verstärken
the treaty|der Vertrag(¨e)
the variety|die Vielfalt
the currency|die Währung(en)
the goods (pl.)|die Waren
to point to |weisen auf
the economy|die Wirtschaft(en)
the economic power|die Wirtschaftsmacht(¨e)
the root|die Wurzel(n)
the cooperation|die Zusammenarbeit
bilingual|zweisprachig
the meantime|die Zwischenzeit
the abolition|die Abschaffung(en)
the difference, gap|der Abstand(¨e)
to deny|abstreiten
at the beginning|anfangs
to belong|angehören
apparently|anscheinend
the unemployment figure|die Arbeitslosenquote(n)
the extent|das Ausmaß(e)
the foreign policy|die Außenpolitik
to combat (starts with b)|bekämpfen
the area (starts with B)|der Bereich(e)
the enrichment|die Bereicherung(en)
the job, work (starts with "Bes")|die Beschäftigung(en)
the educational path|die Bildungsweg(e)
clearly (starts with d)|deutlich
the settling-in process|die Eingewöhnung
to agree (reflexive)|sich einigen
to feel, (here:) to find|empfinden
to correspond to (+ case)|entsprechen (+ dat)
to make possible (starts with e)|ermöglichen
the European Commission|die Europäische Kommission
the expert|die Fachkraft(¨e)
the competence|die Fähigkeit(en)
to promote|fördern
the further training|die Fortbildung(en)
the volunteer (male)|der Freiwillige(n)
the volunteer (female)|die Freiwillige(n)
the peace|der Friede(n)
the fundamental principle|das Fundament
the fee|die Gebühr(en)
to be valid (starts with g)|gelten
to form|gestalten
the legistlation|die Gesetzgebung
the toxic material|der Giftstoff(e)
the border control|die Grenzkontrolle(n)
the trade|der Handel(-)
the priority|das Hauptanliegen(-)
to make a compromise|einen Kompromiss eingehen
artificial|künstlich
to advise (starts with r)|raten
it goes without saying|es ist eine Selbstverständlichkeit
pointless, meaningless|sinnlos
the tax|die Steuer(n)
to subsidise|subventionieren
active (starts with t)|tätig
the participant|der Teilnehmer(-)
comprehensive (starts with ü)|übergreifend
to overlook|übersehen
the vast quantity (put "von" after the word for "vast quantity of")|die Unmasse(n)
to rely on (+ case) (reflexive)|sich verlassen auf (+ acc)
the regulation|die Verorderung(en)
to travel around|verreisen
closed|verschlossen
the administration|die Verwaltung(en)
to show|vorzeigen
the prosperity|der Wohlstand
the customs duty|der Zoll(¨e)
the context|der Zusammenhang(¨e)
additional|zusätzlich
to attribute|zuschreiben
to attribute something to someone|jemandem etwas zuschreiben
the purpose|der Zweck(e)
to estimate (starts with a)|abschätzen
to weigh|abwiegen
the matter, issue|die Angelegenheit(en)
the attraction|der Anreiz(e)
the application|der Antrag(¨e)
to accept (starts with "au")|aufnehmen
to exploit|ausbeuten
regrettable|bedauerlich
the condition|die Bedingung(en)
sought after|begehrt
the authority|die Behörde(n)
the entry, joining|der Beitritt(e)
to combat (starts with b)|bekämpfen
with respect to|in Bezug auf
the fraction|das Bruchstück(e)
colourful|bunt
the pressure|der Druck(¨e)
the objection|der Einwand(¨e)
the fulfilment|die Erfüllung
the harvest|die Ernte(n)
to expect|erwarten
Estonia|Estland
to set, determine|festlegen
the community|die Gemeinschaft(en)
the foundation|die Grundlage(n)
well-educated|gut ausgebildet
the trading partner|der Handelspartner(-)
the pile|der Haufen(-)
the core|der Kern(e)
to confront|konfrontieren
Latvia|Lettland
Lithuania|Litauen
the wage|der Lohn(¨e)
the human trafficking|der Menschenhandel
the human rights (pl.)|die Menschenrechte
the minority|die Minderheit(en)
to abuse|missbrauchen
the economist (starts with Ö) (male)|der Ökonom(en)
the economist (starts with Ö) (female)|die Ökonomin(nen)
to take care of (starts with p)|pflegen
to insist on (+ case)|pochen auf (+ acc)
as a rule|in der Regel
to estimate (starts with s)|schätzen
constant(ly)|ständig
the increase|die Steigerung(en)
the deepening|die Vertiefung(en)
the accusation|der Vorwurf(¨e)
to refuse (reflexive)|sich weigern
the wave|die Welle(n)
the objection|der Widerspruch(¨e)
desirable|wünschenswert
to perish, be ruined|zugrunde gehen
to be of benefit to, stand in good stead|zugutekommen
to withdraw (reflexive)|sich zurückziehen
to come to pass|zustande kommen
doubtless|zweifellos
