to recognise|anerkennen
the relatives (this is plural)|die Angehörigen
appropriate|angemessen
to rise|ansteigen
the asylum seeker (pejorative) (male)|der Asylant(en)
the asylum seeker (pejorative) (female)|die Asylantin(nen)
tha applicant for asylum (male)|der Asylbewerber(-)
tha applicant for asylum (female)|die Asylbewerberin(nen)
the stay|der Aufenhalt(e)
to show (starts with "au")|aufweisen
to part, differ|auseinandergehen
the extent|das Ausmaß(e)
the ethnic German immigrant|der Aussiedler(-)
the emigration|die Auswanderung(en)
the term (starts with B)|der Begriff(e)
the integral part|der Bestandteil(e)
to exist (starts with b)|bestehen
to characterise (starts with b)|bezeichnen
the (academic) qualification|der Bildungsabschluss(¨e)
the civil war|der Bürgerkrieg(e)
permanent, long-lasting|dauerhaft
the naturalisation|die Einbürgerung
uniform (adjective)|einheitlich
the institution|die Einrichtung(en)
the immigrant (starts with E) (male)|der Einwanderer(-)
the immigrant (starts with E) (female)|die Einwanderin(nen)
to aquire|erwerben
the income from employment|das Erwerbseinkommen(-)
inadequate (starts with f)|fehlend
to be certain (starts with f)|feststehen
the refugee|der Flüchtling(e)
the flood|die Flut(en)
in demand|gefragt
even(ly)|gleichmäßig
the globalisation|die Globalisierung
the basic knowledge (this is plural)|die Grundkenntnisse
the challenge|die Herausforderung(en)
the country of origin|das Herkunftsland(¨er)
majority/largely (adjective)|mehrheitlich
the crisis|die Krise(n)
the change of place|der Ortswechsel
the prospect|die Perspektive(n)
the forecast|die Prognose(n)
the government (starts with R)|die Regierungsführung
to reach, extend (starts with r)|reichen
the estimate|die Schätzung(en)
the smuggler gang (smuggling people)|die Schlepperbande(n)
noticeable, tangible (starts with s)|spürbar
the nationality (starts with S)|die Staatangehörigkeit(en)
the citizenship (starts with S)|die Staatsbürgerschaft(en)
to exceed (starts with ü)|überschreiten
the difference, distinction|die Unterscheidung(en)
unsatisfactory|unzureichend
the persecution|die Verfolgung(en)
to have (at one's disposal) (2 words)|verfügen über
in vain|vergeblich
to spread, be spread (reflexive)| (sich) verteilen
in all probability (3 words)|aller Voraussicht nach
the growth|das Wachstum
prosperous|wohlhabend
increasing|zunehmend
the connection|der Zusammenhang(¨e)
the immigrant (starts with Z) (male)|der Zuwanderer(-)
the immigrant (starts with Z) (female)|die Zuwanderin(nen)
to do well|gut abschneiden
the distance|der Abstand(¨e)
to make friends with (reflexive)|(sich) anfreunden
the share|der Anteil(e)
to catch up|auffangen
on the basis of|aufgrund
of all people (in the context of this unit)|ausgerechnet
left out, isolated (starts with "au")|ausgeschlossen
to emigrate|auswandern
to use (starts with b) (reflexive)|(sich) bedienen
to support (starts with "be")|befürworten
to master|beherrschen
