(the) America|(das) Amerika
the American (male)|der Amerikaner
the American (female)|die Amerikanerin(nen)
the foreigner|der Ausländer
the mountain|der Berg(e)
the brother|der Bruder(¨)
the cousin (male)|der Cousin(s)
the cousin (starts with C) (female)|die Cousine(n)
the cousin (starts with K) (female)|die Kusine(n)
(the) German (language)|(das) Deutsch
the German (male)|der Deutscher(n)
the German (female)|die Deutsche(n)
(the) Germany|(der) Deutschland
the parents|die Eltern
(the) England|(das) England
the Englishman|der Engländer(-)
the Englishwoman|die Engländerin(nen)
(the) English (language)|(das) Englisch
the European Union|die Europäische Union
the family|die Familie(n)
the river|der Fluss(¨e)
(the) France|(das) Frankreich
the Frenchman|der Franzose(n)
the Frenchwoman|die Franzözin(nen)
(the) French (language)|(das) Franzözisch
the woman; wife|die Frau(en)
the siblings|die Geschwister
the grandparents|die Großeltern
the grandfather|der Großvater(¨)
the grandmother|die Großmutter(¨)
the capital city|die Hauptstadt(¨e)
(the) Italy|(das) Italien
the Italian (male)|der Italianer(-)
the Italian (female)|die Italianerin(nen)
(the) Italian (language)|(das) Italienisch
the boy|der Junge
(the) Canada|(das) Kanada
the Canadian (male)|der Kanadier(-)
the Canadian (female)|die Kanadierin(nen)
the child|das Kind(er)
the country; state|das Land(¨er)
the map|die Landkarte(n)
the people (starts with L)|die Leute
the girl|das Mädchen(-)
the man; husband|der Mann(¨er)
the human being; person; people|der Mensch(en)
the mother|die Mutter(¨)
the neighbour (male)|der Nachbar(n)
the neighbour (female)|die Nachbarin(nen)
(the) Austria|(das) Österreich
the Austrian (male)|der Österreicher(-)
the Austrian (female)|die Österreicherin(nen)
the uncle|der Onkel
the test; exam (starts with P)|die Prüfung(en)
the sentence|der Satz(¨e)
Switzerland|die Schweiz
the Swiss (male)|der Schweizer(-)
the Swiss (female)|die Schweizerin(nen)
the sister|die Schwester(n)
the lake|der See(n)
the son|der Sohn(¨e)
(the) Spain|(das) Spanien
the Spaniard (male)|der Spanier(-)
the Spaniard (female)|die Spanierin(nen)
(the) Spanish (language)|(das) Spanisch
the language|die Sprache(n)
the state|der Staat(en)
the city|die Stadt(¨e)
the aunt|die Tante(n)
the part|der Teil(e)
the daughter|die Tochter
the father|der Vater(¨)
to answer|antworten
to work|arbeiten
to begin|beginnen
to need|brauchen
to find|finden
to ask|fragen
to go|gehen
to hear|hören
to come|kommen
to cost|kosten
to learn; to study|lernen
to lie; to be located|liegen
to open|öffnen
to rain|regen
to say; to tell|sagen
to write|schreiben
to play|spielen
to understand|verstehen
to repeat; to review|wiederholen
to live, reside|wohnen
to count|zählen
American|amerikanisch
Canadian|kanadisch
important|wichtig
your (familar)|dein(e)
in the north|im Norden
in the south|im Süden
in the east|im Osten
in the west|im Westen
north|nördlich
south|südlich
east|östlich
west|westlich
as ... as ...|so ... wie ...
from where?|woher?
